"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031113","GO:0031113","regulation of microtubule polymerization","1/541","10/10683",0.405425697524991,0.405425697524991,0.619788878346191,"cnn",1
"GO:0034311","GO:0034311","diol metabolic process","1/541","10/10683",0.405425697524991,0.405425697524991,0.619788878346191,"CG12116",1
"GO:0034312","GO:0034312","diol biosynthetic process","1/541","10/10683",0.405425697524991,0.405425697524991,0.619788878346191,"CG12116",1
"GO:0035079","GO:0035079","polytene chromosome puffing","1/541","10/10683",0.405425697524991,0.405425697524991,0.619788878346191,"Hsp70Ba",1
"GO:0042306","GO:0042306","regulation of protein import into nucleus","1/541","10/10683",0.405425697524991,0.405425697524991,0.619788878346191,"rdx",1
"GO:0043149","GO:0043149","stress fiber assembly","1/541","10/10683",0.405425697524991,0.405425697524991,0.619788878346191,"Fhos",1
"GO:0045035","GO:0045035","sensory organ precursor cell division","1/541","10/10683",0.405425697524991,0.405425697524991,0.619788878346191,"numb",1
"GO:0045463","GO:0045463","R8 cell development","1/541","10/10683",0.405425697524991,0.405425697524991,0.619788878346191,"kibra",1
"GO:0050974","GO:0050974","detection of mechanical stimulus involved in sensory perception","1/541","10/10683",0.405425697524991,0.405425697524991,0.619788878346191,"Dscam1",1
"GO:0051693","GO:0051693","actin filament capping","1/541","10/10683",0.405425697524991,0.405425697524991,0.619788878346191,"Svil",1
"GO:0090254","GO:0090254","cell elongation involved in imaginal disc-derived wing morphogenesis","1/541","10/10683",0.405425697524991,0.405425697524991,0.619788878346191,"arr",1
"GO:0099054","GO:0099054","presynapse assembly","1/541","10/10683",0.405425697524991,0.405425697524991,0.619788878346191,"Spn",1
"GO:1900407","GO:1900407","regulation of cellular response to oxidative stress","1/541","10/10683",0.405425697524991,0.405425697524991,0.619788878346191,"Dop1R2",1
"GO:1903053","GO:1903053","regulation of extracellular matrix organization","1/541","10/10683",0.405425697524991,0.405425697524991,0.619788878346191,"Mmp2",1
"GO:1990511","GO:1990511","piRNA biosynthetic process","1/541","10/10683",0.405425697524991,0.405425697524991,0.619788878346191,"tej",1
"GO:0031109","GO:0031109","microtubule polymerization or depolymerization","4/541","64/10683",0.408095134592866,0.408095134592866,0.62301454117709,"cnn/CG11298/CG32232/stai",4
"GO:0034504","GO:0034504","protein localization to nucleus","4/541","64/10683",0.408095134592866,0.408095134592866,0.62301454117709,"hth/pros/alphaKap4/rdx",4
"GO:0010629","GO:0010629","negative regulation of gene expression","20/541","369/10683",0.409478768964795,0.409478768964795,0.624698684303898,"numb/pros/rho/N/Psc/dac/hdc/heph/msi/apt/Lrpprc2/erm/Elba2/SmydA-1/tut/SmydA-8/dnr1/bru2/bru3/Spn42Da",20
"GO:0030097","GO:0030097","hemopoiesis","5/541","83/10683",0.411915194854899,0.411915194854899,0.627985555901124,"kn/ush/N/pyr/Pvf3",5
"GO:0009311","GO:0009311","oligosaccharide metabolic process","2/541","28/10683",0.418233829276728,0.418233829276728,0.635010786603204,"fbp/sNPF",2
"GO:0010528","GO:0010528","regulation of transposition","2/541","28/10683",0.418233829276728,0.418233829276728,0.635010786603204,"tej/SoYb",2
"GO:0015850","GO:0015850","organic hydroxy compound transport","2/541","28/10683",0.418233829276728,0.418233829276728,0.635010786603204,"CG17597/Sytbeta",2
"GO:0032196","GO:0032196","transposition","2/541","28/10683",0.418233829276728,0.418233829276728,0.635010786603204,"tej/SoYb",2
"GO:0043171","GO:0043171","peptide catabolic process","2/541","28/10683",0.418233829276728,0.418233829276728,0.635010786603204,"CG10365/SP1029",2
"GO:0048332","GO:0048332","mesoderm morphogenesis","2/541","28/10683",0.418233829276728,0.418233829276728,0.635010786603204,"byn/pyr",2
"GO:0006816","GO:0006816","calcium ion transport","4/541","65/10683",0.419640624836004,0.419640624836004,0.636712722037132,"Trpgamma/MCU/Ca-Ma2d/Ca-alpha1T",4
"GO:0042981","GO:0042981","regulation of apoptotic process","10/541","179/10683",0.421334198197199,0.421334198197199,0.638412576716988,"fkh/ptc/hid/N/brk/Rab3-GEF/CG10257/Fili/kibra/rdx",10
"GO:1902533","GO:1902533","positive regulation of intracellular signal transduction","10/541","179/10683",0.421334198197199,0.421334198197199,0.638412576716988,"ed/ptc/melt/Rab3-GEF/sNPF/PVRAP/Pdfr/CG42674/kibra/rdx",10
"GO:0008219","GO:0008219","cell death","20/541","372/10683",0.42391126361681,0.42391126361681,0.6413068702511,"fkh/rst/ptc/hid/N/hdc/Aldh/klu/brk/Rab3-GEF/CG10257/skl/scyl/Fili/kibra/Sarm/rdx/mbl/Fhos/Dop1R2",20
"GO:1901137","GO:1901137","carbohydrate derivative biosynthetic process","16/541","295/10683",0.425319425610814,0.425319425610814,0.6413068702511,"rut/Gycbeta100B/O-fut2/CG4341/CG7024/ATPsynCF6L/CG10738/FucTA/Adgf-B/Sccpdh1/Gyc88E/Pgant9/CG31690/CG34357/Ppcs/CG43373",16
"GO:0019725","GO:0019725","cellular homeostasis","11/541","199/10683",0.426924688092019,0.426924688092019,0.6413068702511,"N/Dop1R1/Oamb/nAChRalpha6/Trpgamma/Ilp2/MCU/Ndae1/mbl/Fhos/Dop1R2",11
"GO:0120031","GO:0120031","plasma membrane bounded cell projection assembly","11/541","199/10683",0.426924688092019,0.426924688092019,0.6413068702511,"N/Galphaf/tilB/CG13693/TTLL3A/CG15701/CCDC151/CG17687/HEATR2/kug/Flo2",11
"GO:0003333","GO:0003333","amino acid transmembrane transport","3/541","47/10683",0.42785862819019,0.42785862819019,0.6413068702511,"JhI-21/CG13743/ChT",3
"GO:0034765","GO:0034765","regulation of ion transmembrane transport","3/541","47/10683",0.42785862819019,0.42785862819019,0.6413068702511,"eag/Irk3/Neto",3
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","3/541","47/10683",0.42785862819019,0.42785862819019,0.6413068702511,"cnn/CG11298/stai",3
"GO:0008063","GO:0008063","Toll signaling pathway","4/541","66/10683",0.431132606899589,0.431132606899589,0.6413068702511,"Spn27A/Toll-7/dl/Tl",4
"GO:0009306","GO:0009306","protein secretion","5/541","85/10683",0.432140466450155,0.432140466450155,0.6413068702511,"JhI-21/CG15399/cmpy/tbc/Flo2",5
"GO:0048640","GO:0048640","negative regulation of developmental growth","5/541","85/10683",0.432140466450155,0.432140466450155,0.6413068702511,"fkh/gt/Octbeta1R/kibra/Tl",5
"GO:0051146","GO:0051146","striated muscle cell differentiation","5/541","85/10683",0.432140466450155,0.432140466450155,0.6413068702511,"rst/mspo/sns/Zasp67/Zasp52",5
"GO:0002237","GO:0002237","response to molecule of bacterial origin","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"Dscam1",1
"GO:0002781","GO:0002781","antifungal peptide production","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"Tl",1
"GO:0002788","GO:0002788","regulation of antifungal peptide production","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"Tl",1
"GO:0006607","GO:0006607","NLS-bearing protein import into nucleus","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"alphaKap4",1
"GO:0006714","GO:0006714","sesquiterpenoid metabolic process","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"AstC",1
"GO:0006716","GO:0006716","juvenile hormone metabolic process","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"AstC",1
"GO:0015872","GO:0015872","dopamine transport","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"Sytbeta",1
"GO:0030381","GO:0030381","chorion-containing eggshell pattern formation","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"grk",1
"GO:0030723","GO:0030723","ovarian fusome organization","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"Btk29A",1
"GO:0030834","GO:0030834","regulation of actin filament depolymerization","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"Svil",1
"GO:0031279","GO:0031279","regulation of cyclase activity","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"NPFR",1
"GO:0032366","GO:0032366","intracellular sterol transport","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"CG17597",1
"GO:0033696","GO:0033696","heterochromatin boundary formation","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"Elba2",1
"GO:0042689","GO:0042689","regulation of crystal cell differentiation","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"N",1
"GO:0043457","GO:0043457","regulation of cellular respiration","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"Lrpprc2",1
"GO:0043471","GO:0043471","regulation of cellular carbohydrate catabolic process","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"Ilp2",1
"GO:0044273","GO:0044273","sulfur compound catabolic process","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"CG10365",1
"GO:0046693","GO:0046693","sperm storage","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"Acp36DE",1
"GO:0046885","GO:0046885","regulation of hormone biosynthetic process","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"AstC",1
"GO:0048790","GO:0048790","maintenance of presynaptic active zone structure","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"Ten-m",1
"GO:0050848","GO:0050848","regulation of calcium-mediated signaling","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"Pdfr",1
"GO:0051339","GO:0051339","regulation of lyase activity","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"NPFR",1
"GO:0051937","GO:0051937","catecholamine transport","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"Sytbeta",1
"GO:0062125","GO:0062125","regulation of mitochondrial gene expression","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"Lrpprc2",1
"GO:0070936","GO:0070936","protein K48-linked ubiquitination","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"rdx",1
"GO:0071230","GO:0071230","cellular response to amino acid stimulus","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"JhI-21",1
"GO:0071480","GO:0071480","cellular response to gamma radiation","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"hid",1
"GO:0072091","GO:0072091","regulation of stem cell proliferation","1/541","11/10683",0.435563868389694,0.435563868389694,0.6413068702511,"Mmp2",1
"GO:0007277","GO:0007277","pole cell development","2/541","29/10683",0.435912888224082,0.435912888224082,0.6413068702511,"tsl/cnn",2
"GO:0016334","GO:0016334","establishment or maintenance of polarity of follicular epithelium","2/541","29/10683",0.435912888224082,0.435912888224082,0.6413068702511,"grk/kug",2
"GO:0031122","GO:0031122","cytoplasmic microtubule organization","2/541","29/10683",0.435912888224082,0.435912888224082,0.6413068702511,"Ten-m/CG32232",2
"GO:0036099","GO:0036099","female germ-line stem cell population maintenance","2/541","29/10683",0.435912888224082,0.435912888224082,0.6413068702511,"N/gbb",2
"GO:0051346","GO:0051346","negative regulation of hydrolase activity","2/541","29/10683",0.435912888224082,0.435912888224082,0.6413068702511,"Spn27A/Spn42Da",2
"GO:0055082","GO:0055082","cellular chemical homeostasis","7/541","124/10683",0.439855656322383,0.439855656322383,0.646680263177462,"Dop1R1/Oamb/Trpgamma/Ilp2/MCU/Ndae1/Dop1R2",7
"GO:0032006","GO:0032006","regulation of TOR signaling","3/541","48/10683",0.441434321875559,0.441434321875559,0.648145595592883,"melt/scyl/PVRAP",3
"GO:0034762","GO:0034762","regulation of transmembrane transport","3/541","48/10683",0.441434321875559,0.441434321875559,0.648145595592883,"eag/Irk3/Neto",3
"GO:0007369","GO:0007369","gastrulation","5/541","86/10683",0.442200144642844,0.442200144642844,0.648520137266261,"fkh/tld/tsl/byn/pyr",5
"GO:0001578","GO:0001578","microtubule bundle formation","4/541","67/10683",0.442562891404764,0.442562891404764,0.648520137266261,"tilB/CG15701/CCDC151/HEATR2",4
"GO:0046942","GO:0046942","carboxylic acid transport","4/541","67/10683",0.442562891404764,0.442562891404764,0.648520137266261,"Mct1/JhI-21/CG10019/CG34402",4
"GO:0060341","GO:0060341","regulation of cellular localization","9/541","164/10683",0.451331417293161,0.451331417293161,0.657274836741888,"pros/rho/JhI-21/CG17597/cmpy/Orco/dlp/Flo2/rdx",9
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","5/541","87/10683",0.452216896182638,0.452216896182638,0.657274836741888,"Rab3-GEF/GEFmeso/form3/Epac/CG42674",5
"GO:0002803","GO:0002803","positive regulation of antibacterial peptide production","2/541","30/10683",0.453296991968894,0.453296991968894,0.657274836741888,"kay/ush",2
"GO:0006963","GO:0006963","positive regulation of antibacterial peptide biosynthetic process","2/541","30/10683",0.453296991968894,0.453296991968894,0.657274836741888,"kay/ush",2
"GO:0033866","GO:0033866","nucleoside bisphosphate biosynthetic process","2/541","30/10683",0.453296991968894,0.453296991968894,0.657274836741888,"CG7024/Ppcs",2
"GO:0034030","GO:0034030","ribonucleoside bisphosphate biosynthetic process","2/541","30/10683",0.453296991968894,0.453296991968894,0.657274836741888,"CG7024/Ppcs",2
"GO:0034033","GO:0034033","purine nucleoside bisphosphate biosynthetic process","2/541","30/10683",0.453296991968894,0.453296991968894,0.657274836741888,"CG7024/Ppcs",2
"GO:0042026","GO:0042026","protein refolding","2/541","30/10683",0.453296991968894,0.453296991968894,0.657274836741888,"Hsp68/Hsp70Ba",2
"GO:0070050","GO:0070050","neuron cellular homeostasis","2/541","30/10683",0.453296991968894,0.453296991968894,0.657274836741888,"Dop1R1/Dop1R2",2
"GO:0072527","GO:0072527","pyrimidine-containing compound metabolic process","2/541","30/10683",0.453296991968894,0.453296991968894,0.657274836741888,"CG3788/Tet",2
"GO:0010876","GO:0010876","lipid localization","8/541","145/10683",0.453855374363493,0.453855374363493,0.657274836741888,"FarO/CG17597/CG30339/LpR2/CG32407/Invadolysin/CG42816/Esyt2",8
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis","8/541","145/10683",0.453855374363493,0.453855374363493,0.657274836741888,"ed/grk/ttk/N/Mcm6/Zasp67/Ppcs/Zasp52",8
"GO:0009607","GO:0009607","response to biotic stimulus","23/541","437/10683",0.455062271881274,0.455062271881274,0.657274836741888,"kay/kn/ush/N/jumu/JhI-21/Spn27A/RluA-2/Dscam1/PPO2/Mmp2/Listericin/Toll-7/Obp99c/CG30424/vvl/dl/dnr1/PPO3/kug/Tl/Sarm/Flo2",23
"GO:0043207","GO:0043207","response to external biotic stimulus","23/541","437/10683",0.455062271881274,0.455062271881274,0.657274836741888,"kay/kn/ush/N/jumu/JhI-21/Spn27A/RluA-2/Dscam1/PPO2/Mmp2/Listericin/Toll-7/Obp99c/CG30424/vvl/dl/dnr1/PPO3/kug/Tl/Sarm/Flo2",23
"GO:0051707","GO:0051707","response to other organism","23/541","437/10683",0.455062271881274,0.455062271881274,0.657274836741888,"kay/kn/ush/N/jumu/JhI-21/Spn27A/RluA-2/Dscam1/PPO2/Mmp2/Listericin/Toll-7/Obp99c/CG30424/vvl/dl/dnr1/PPO3/kug/Tl/Sarm/Flo2",23
"GO:0006915","GO:0006915","apoptotic process","13/541","243/10683",0.460197988636298,0.460197988636298,0.657274836741888,"fkh/ptc/hid/N/brk/Rab3-GEF/CG10257/skl/scyl/Fili/kibra/rdx/mbl",13
"GO:0010941","GO:0010941","regulation of cell death","14/541","263/10683",0.463208549678344,0.463208549678344,0.657274836741888,"fkh/ptc/hid/N/Aldh/klu/brk/Rab3-GEF/CG10257/Fili/kibra/Sarm/rdx/Dop1R2",14
"GO:0000727","GO:0000727","double-strand break repair via break-induced replication","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"Mcm6",1
"GO:0001522","GO:0001522","pseudouridine synthesis","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"RluA-2",1
"GO:0003381","GO:0003381","epithelial cell morphogenesis involved in gastrulation","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"tsl",1
"GO:0003384","GO:0003384","apical constriction involved in gastrulation","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"tsl",1
"GO:0006084","GO:0006084","acetyl-CoA metabolic process","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"CG7024",1
"GO:0006284","GO:0006284","base-excision repair","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"Rrp1",1
"GO:0006515","GO:0006515","protein quality control for misfolded or incompletely synthesized proteins","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"rdx",1
"GO:0006517","GO:0006517","protein deglycosylation","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"CG1827",1
"GO:0006760","GO:0006760","folic acid-containing compound metabolic process","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"Fpgs",1
"GO:0007318","GO:0007318","pole plasm protein localization","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"mon2",1
"GO:0007368","GO:0007368","determination of left/right symmetry","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"Myo31DF",1
"GO:0007482","GO:0007482","haltere development","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"hth",1
"GO:0008057","GO:0008057","eye pigment granule organization","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"Dysb",1
"GO:0008645","GO:0008645","hexose transmembrane transport","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"MFS3",1
"GO:0010165","GO:0010165","response to X-ray","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"hid",1
"GO:0015800","GO:0015800","acidic amino acid transport","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"CG34402",1
"GO:0015844","GO:0015844","monoamine transport","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"Sytbeta",1
"GO:0030301","GO:0030301","cholesterol transport","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"CG17597",1
"GO:0030720","GO:0030720","oocyte localization involved in germarium-derived egg chamber formation","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"N",1
"GO:0031290","GO:0031290","retinal ganglion cell axon guidance","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"Wnt4",1
"GO:0031297","GO:0031297","replication fork processing","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"CG14803",1
"GO:0032483","GO:0032483","regulation of Rab protein signal transduction","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"Rab3-GEF",1
"GO:0035007","GO:0035007","regulation of melanization defense response","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"Spn27A",1
"GO:0035435","GO:0035435","phosphate ion transmembrane transport","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"NaPi-T",1
"GO:0036466","GO:0036466","synaptic vesicle recycling via endosome","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"Dysb",1
"GO:0043112","GO:0043112","receptor metabolic process","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"numb",1
"GO:0045314","GO:0045314","regulation of compound eye photoreceptor development","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"N",1
"GO:0046622","GO:0046622","positive regulation of organ growth","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"Ilp2",1
"GO:0051674","GO:0051674","localization of cell","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"N",1
"GO:0061162","GO:0061162","establishment of monopolar cell polarity","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"fz",1
"GO:0061339","GO:0061339","establishment or maintenance of monopolar cell polarity","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"fz",1
"GO:0061343","GO:0061343","cell adhesion involved in heart morphogenesis","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"Lac",1
"GO:0071229","GO:0071229","cellular response to acid chemical","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"JhI-21",1
"GO:0090257","GO:0090257","regulation of muscle system process","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"Tk",1
"GO:1904748","GO:1904748","regulation of apoptotic process involved in development","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"hid",1
"GO:2000242","GO:2000242","negative regulation of reproductive process","1/541","12/10683",0.464177056845577,0.464177056845577,0.657274836741888,"pch2",1
"GO:0097190","GO:0097190","apoptotic signaling pathway","3/541","50/10683",0.46819588304103,0.46819588304103,0.662544297809683,"hid/Rab3-GEF/CG10257",3
"GO:0009755","GO:0009755","hormone-mediated signaling pathway","2/541","31/10683",0.47037065021718,0.47037065021718,0.663514080103698,"Dh44-R2/Chd64",2
"GO:0048520","GO:0048520","positive regulation of behavior","2/541","31/10683",0.47037065021718,0.47037065021718,0.663514080103698,"Oamb/Dh31",2
"GO:0051084","GO:0051084","'de novo' post-translational protein folding","2/541","31/10683",0.47037065021718,0.47037065021718,0.663514080103698,"Hsp68/Hsp70Ba",2
"GO:0051085","GO:0051085","chaperone cofactor-dependent protein refolding","2/541","31/10683",0.47037065021718,0.47037065021718,0.663514080103698,"Hsp68/Hsp70Ba",2
"GO:0120034","GO:0120034","positive regulation of plasma membrane bounded cell projection assembly","2/541","31/10683",0.47037065021718,0.47037065021718,0.663514080103698,"kug/Flo2",2
"GO:0035592","GO:0035592","establishment of protein localization to extracellular region","5/541","89/10683",0.47210000479127,0.47210000479127,0.665532052057513,"JhI-21/CG15399/cmpy/tbc/Flo2",5
"GO:0060627","GO:0060627","regulation of vesicle-mediated transport","7/541","128/10683",0.473039157149811,0.473039157149811,0.666434206550817,"numb/inaC/Rab27/Rph/CG15399/corn/Sytbeta",7
"GO:0009952","GO:0009952","anterior/posterior pattern specification","10/541","187/10683",0.476334708519678,0.476334708519678,0.670197122388644,"bi/grk/gt/pk/tsl/ptc/N/Psc/mon2/tej",10
"GO:0045787","GO:0045787","positive regulation of cell cycle","4/541","70/10683",0.4764074930675,0.4764074930675,0.670197122388644,"N/APC7/CG10738/Invadolysin",4
"GO:0042594","GO:0042594","response to starvation","8/541","148/10683",0.476956910760862,0.476956910760862,0.670197122388644,"Hsp68/hid/Dop1R1/melt/Oamb/mthl3/Ilp2/Slob",8
"GO:0030003","GO:0030003","cellular cation homeostasis","6/541","109/10683",0.477214557799135,0.477214557799135,0.670197122388644,"Dop1R1/Oamb/Trpgamma/MCU/Ndae1/Dop1R2",6
"GO:0032970","GO:0032970","regulation of actin filament-based process","6/541","109/10683",0.477214557799135,0.477214557799135,0.670197122388644,"ed/fz/Btk29A/tsl/Fhos/Svil",6
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","3/541","51/10683",0.481361174626624,0.481361174626624,0.670566609258607,"Zw10/APC7/Invadolysin",3
"GO:0090068","GO:0090068","positive regulation of cell cycle process","3/541","51/10683",0.481361174626624,0.481361174626624,0.670566609258607,"N/APC7/Invadolysin",3
"GO:0048585","GO:0048585","negative regulation of response to stimulus","21/541","404/10683",0.483375769052435,0.483375769052435,0.670566609258607,"ed/numb/ptc/ken/kek1/apt/brk/Spn27A/SoxN/Mmp2/CG10257/cmpy/scyl/PVRAP/CG32683/CG33993/Fs/dnr1/Tl/Sarm/rdx",21
"GO:0006873","GO:0006873","cellular ion homeostasis","6/541","110/10683",0.486120181689876,0.486120181689876,0.670566609258607,"Dop1R1/Oamb/Trpgamma/MCU/Ndae1/Dop1R2",6
"GO:0006458","GO:0006458","'de novo' protein folding","2/541","32/10683",0.487120691154132,0.487120691154132,0.670566609258607,"Hsp68/Hsp70Ba",2
"GO:0007131","GO:0007131","reciprocal meiotic recombination","2/541","32/10683",0.487120691154132,0.487120691154132,0.670566609258607,"hdm/pch2",2
"GO:0007300","GO:0007300","ovarian nurse cell to oocyte transport","2/541","32/10683",0.487120691154132,0.487120691154132,0.670566609258607,"Btk29A/Ppcs",2
"GO:0008345","GO:0008345","larval locomotory behavior","2/541","32/10683",0.487120691154132,0.487120691154132,0.670566609258607,"FMRFaR/MsR2",2
"GO:0016325","GO:0016325","oocyte microtubule cytoskeleton organization","2/541","32/10683",0.487120691154132,0.487120691154132,0.670566609258607,"grk/heph",2
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","2/541","32/10683",0.487120691154132,0.487120691154132,0.670566609258607,"Ten-m/N",2
"GO:0031532","GO:0031532","actin cytoskeleton reorganization","2/541","32/10683",0.487120691154132,0.487120691154132,0.670566609258607,"mon2/CG32982",2
"GO:0032008","GO:0032008","positive regulation of TOR signaling","2/541","32/10683",0.487120691154132,0.487120691154132,0.670566609258607,"melt/PVRAP",2
"GO:0035017","GO:0035017","cuticle pattern formation","2/541","32/10683",0.487120691154132,0.487120691154132,0.670566609258607,"fz/SoxN",2
"GO:0140527","GO:0140527","reciprocal homologous recombination","2/541","32/10683",0.487120691154132,0.487120691154132,0.670566609258607,"hdm/pch2",2
"GO:1901615","GO:1901615","organic hydroxy compound metabolic process","9/541","169/10683",0.487459046808241,0.487459046808241,0.670566609258607,"Ddc/ple/Spn27A/CG12116/PPO2/Dysb/dl/PPO3/Flo2",9
"GO:0098542","GO:0098542","defense response to other organism","21/541","405/10683",0.488055436729664,0.488055436729664,0.670566609258607,"kay/kn/ush/N/jumu/JhI-21/Spn27A/RluA-2/PPO2/Mmp2/Listericin/Toll-7/CG30424/vvl/dl/dnr1/PPO3/kug/Tl/Sarm/Flo2",21
"GO:0000022","GO:0000022","mitotic spindle elongation","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"RacGAP84C",1
"GO:0000463","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"CG1463",1
"GO:0006739","GO:0006739","NADP metabolic process","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"cu",1
"GO:0007064","GO:0007064","mitotic sister chromatid cohesion","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"brk",1
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"mew",1
"GO:0009047","GO:0009047","dosage compensation by hyperactivation of X chromosome","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"lncRNA:roX1",1
"GO:0009163","GO:0009163","nucleoside biosynthetic process","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"Adgf-B",1
"GO:0009996","GO:0009996","negative regulation of cell fate specification","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"ed",1
"GO:0010770","GO:0010770","positive regulation of cell morphogenesis involved in differentiation","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"Fhos",1
"GO:0010906","GO:0010906","regulation of glucose metabolic process","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"sNPF",1
"GO:0010977","GO:0010977","negative regulation of neuron projection development","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"pros",1
"GO:0018094","GO:0018094","protein polyglycylation","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"TTLL3A",1
"GO:0019432","GO:0019432","triglyceride biosynthetic process","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"CG1941",1
"GO:0019732","GO:0019732","antifungal humoral response","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"Tl",1
"GO:0022408","GO:0022408","negative regulation of cell-cell adhesion","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"N",1
"GO:0030719","GO:0030719","P granule organization","1/541","13/10683",0.491342290867369,0.491342290867369,0.670566609258607,"tej",1
